m/z	intensity
101.1298	90.807
102.132	41.8321
110.0546	3916.457
111.2084	233.2335
113.1376	79.2618
115.2698	21.2792
115.8837	38.1373
119.3194	73.5677
120.2002	183.0694
123.2101	25.966
124.1051	18.8947
125.3232	29.3114
127.1548	67.3754
129.1762	881.4474
130.184	456.131
131.0236	15.9409
132.2151	33.2449
134.1292	36.6879
135.2187	85.5261
136.2463	94.1966
138.1221	181.2209
139.1191	24.2937
145.1811	20.7004
147.1819	608.2726
148.2487	47.7135
149.2166	13.2795
151.2012	12.2218
152.2772	13.2421
153.3596	14.1932
154.1343	22.9101
155.1441	71.9952
156.1067	198.0717
157.0728	34.5549
158.1868	56.5977
160.0409	16.1518
163.1927	17.5671
164.0934	26.4809
165.0233	36.9169
166.4485	78.5581
169.2845	11.1462
170.1426	45.8845
171.1645	64.5642
172.1402	37.7486
173.1939	44.6236
175.2135	102.5177
176.3674	14.0922
180.281	26.8358
181.0887	206.1762
184.1332	63.4209
185.2684	91.8057
186.1694	86.1153
187.328	51.5001
189.906	13.6411
191.1712	28.1667
192.1007	64.3584
193.2556	29.9307
195.2304	56.5637
197.2406	273.3095
198.1933	18.7786
199.4006	44.0672
200.2898	49.5541
201.2303	36.697
202.1752	27.0335
204.239	26.7899
205.0605	18.292
206.2982	27.0038
207.1362	335.3458
209.1741	396.6406
210.2866	27.1253
211.1812	23.2797
212.1769	14.5555
214.1504	12.4889
215.1935	67.5134
217.2305	43.6982
218.0486	29.056
220.2516	21.7579
223.1267	13.4755
224.2282	32.3564
225.2673	56.1733
226.7326	73.2086
228.5199	51.8495
229.2532	52.3431
230.223	56.4132
231.1186	42.3803
232.4445	28.1147
234.2554	98.6352
235.1312	161.5059
235.9325	35.6481
237.0915	104.7467
239.5369	21.5134
240.1856	67.2842
242.1967	59.0455
244.2314	121.3394
245.133	34.3889
247.3059	48.7162
248.1131	35.9401
249.3373	72.8819
249.9524	15.8289
251.143	22.5699
252.0878	575.7216
253.3319	56.6596
254.2634	36.9954
255.1248	20.2712
255.9938	13.2002
257.1191	86.6528
258.0538	65.9344
259.2365	13.3103
260.2177	13.942
263.2202	28.0151
264.1396	55.4983
265.2859	21.7811
266.2694	413.3982
267.264	103.9448
268.2825	148.6353
269.2216	66.5189
269.8453	21.5651
272.2028	43.3214
275.0308	234.1053
276.0595	124.2503
280.0899	37.3215
282.159	22.3232
283.3419	32.7511
284.1951	1025.678
285.3514	277.1626
287.2034	78.451
294.3071	36.5822
295.6326	14.4058
296.2982	89.9274
297.2163	85.4772
298.879	42.2025
299.4909	62.2274
300.841	52.493
302.2534	43.4832
303.2569	183.3547
304.1804	79.9311
306.2692	55.5975
306.9426	52.4861
308.4866	90.0772
309.4919	16.3732
310.2329	65.1837
312.5334	72.596
313.3644	37.4365
315.0552	14.8166
317.0722	60.0927
318.1114	126.687
318.8546	17.2141
320.4782	189.7796
322.1473	32.7674
323.128	82.3272
324.4266	45.5849
325.1894	20.2303
326.147	63.3095
327.2795	41.7985
329.5192	61.4803
330.4164	77.526
331.3063	57.6049
332.1335	36.7615
333.2731	37.0553
334.2892	54.3329
335.3295	39.4195
336.4214	19.5749
337.1678	59.3917
338.5118	22.5782
339.4625	36.8395
340.3608	35.1119
341.1255	19.1832
342.171	22.9677
343.2351	27.2916
346.1711	72.7438
347.4679	55.786
350.1353	60.5204
351.141	25.4237
351.9305	33.4072
353.387	25.3754
355.3741	282.412
356.3747	142.7137
357.3703	27.5826
358.7004	112.6477
359.716	37.9623
361.7151	38.973
